RoomID,Room,Status,Accuracy,Loss,Acc_ensemble,Acc_lgb,Acc_xgb,Acc_lstm
,1662,NO_METRICS,nan,nan,nan,nan,nan,nan
,1663,NO_METRICS,nan,nan,nan,nan,nan,nan
,1664,NO_METRICS,nan,nan,nan,nan,nan,nan
,1665,NO_METRICS,nan,nan,nan,nan,nan,nan
,1666,NO_METRICS,nan,nan,nan,nan,nan,nan
,1667,NO_METRICS,nan,nan,nan,nan,nan,nan
,1668,NO_METRICS,nan,nan,nan,nan,nan,nan
,1669,NO_METRICS,nan,nan,nan,nan,nan,nan
,1670,NO_METRICS,nan,nan,nan,nan,nan,nan
,1671,NO_METRICS,nan,nan,nan,nan,nan,nan
,1672,NO_METRICS,nan,nan,nan,nan,nan,nan
,1673,NO_METRICS,nan,nan,nan,nan,nan,nan
,1674,NO_METRICS,nan,nan,nan,nan,nan,nan
,1675,NO_METRICS,nan,nan,nan,nan,nan,nan
,1676,NO_METRICS,nan,nan,nan,nan,nan,nan
,1677,NO_METRICS,nan,nan,nan,nan,nan,nan
,1678,NO_METRICS,nan,nan,nan,nan,nan,nan
,1679,NO_METRICS,nan,nan,nan,nan,nan,nan
,1680,NO_METRICS,nan,nan,nan,nan,nan,nan
,1681,NO_METRICS,nan,nan,nan,nan,nan,nan
,1682,NO_METRICS,nan,nan,nan,nan,nan,nan
,1683,NO_METRICS,nan,nan,nan,nan,nan,nan
,1684,NO_METRICS,nan,nan,nan,nan,nan,nan
,1685,NO_METRICS,nan,nan,nan,nan,nan,nan
,1686,NO_METRICS,nan,nan,nan,nan,nan,nan
,1687,NO_METRICS,nan,nan,nan,nan,nan,nan
,1688,NO_METRICS,nan,nan,nan,nan,nan,nan
,1689,NO_METRICS,nan,nan,nan,nan,nan,nan
,1690,NO_METRICS,nan,nan,nan,nan,nan,nan
,1691,NO_METRICS,nan,nan,nan,nan,nan,nan
,1692,NO_METRICS,nan,nan,nan,nan,nan,nan
,1693,NO_METRICS,nan,nan,nan,nan,nan,nan
,1694,NO_METRICS,nan,nan,nan,nan,nan,nan
,1695,NO_METRICS,nan,nan,nan,nan,nan,nan
,1696,NO_METRICS,nan,nan,nan,nan,nan,nan
,1697,NO_METRICS,nan,nan,nan,nan,nan,nan
,1698,NO_METRICS,nan,nan,nan,nan,nan,nan
,1699,NO_METRICS,nan,nan,nan,nan,nan,nan
,16,NO_METRICS,nan,nan,nan,nan,nan,nan
,1700,NO_METRICS,nan,nan,nan,nan,nan,nan
,1701,NO_METRICS,nan,nan,nan,nan,nan,nan
,1702,NO_METRICS,nan,nan,nan,nan,nan,nan
,1703,NO_METRICS,nan,nan,nan,nan,nan,nan
,1704,NO_METRICS,nan,nan,nan,nan,nan,nan
,1705,NO_METRICS,nan,nan,nan,nan,nan,nan
,1706,NO_METRICS,nan,nan,nan,nan,nan,nan
,1707,NO_METRICS,nan,nan,nan,nan,nan,nan
,1708,NO_METRICS,nan,nan,nan,nan,nan,nan
,1709,NO_METRICS,nan,nan,nan,nan,nan,nan
,1710,NO_METRICS,nan,nan,nan,nan,nan,nan
,1711,NO_METRICS,nan,nan,nan,nan,nan,nan
,1712,NO_METRICS,nan,nan,nan,nan,nan,nan
,1713,NO_METRICS,nan,nan,nan,nan,nan,nan
,1714,NO_METRICS,nan,nan,nan,nan,nan,nan
,1715,NO_METRICS,nan,nan,nan,nan,nan,nan
,1716,NO_METRICS,nan,nan,nan,nan,nan,nan
,1717,NO_METRICS,nan,nan,nan,nan,nan,nan
,1718,NO_METRICS,nan,nan,nan,nan,nan,nan
,1719,NO_METRICS,nan,nan,nan,nan,nan,nan
,1720,NO_METRICS,nan,nan,nan,nan,nan,nan
,1721,NO_METRICS,nan,nan,nan,nan,nan,nan
,1722,NO_METRICS,nan,nan,nan,nan,nan,nan
,1723,NO_METRICS,nan,nan,nan,nan,nan,nan
,1724,NO_METRICS,nan,nan,nan,nan,nan,nan
,1725,NO_METRICS,nan,nan,nan,nan,nan,nan
,1726,NO_METRICS,nan,nan,nan,nan,nan,nan
,1727,NO_METRICS,nan,nan,nan,nan,nan,nan
,1728,NO_METRICS,nan,nan,nan,nan,nan,nan
,1729,NO_METRICS,nan,nan,nan,nan,nan,nan
,1730,NO_METRICS,nan,nan,nan,nan,nan,nan
,1731,NO_METRICS,nan,nan,nan,nan,nan,nan
,1732,NO_METRICS,nan,nan,nan,nan,nan,nan
,17,NO_METRICS,nan,nan,nan,nan,nan,nan
,18,NO_METRICS,nan,nan,nan,nan,nan,nan
,19,NO_METRICS,nan,nan,nan,nan,nan,nan
,1,OK,nan,nan,nan,nan,nan,nan
,20,NO_METRICS,nan,nan,nan,nan,nan,nan
,21,NO_METRICS,nan,nan,nan,nan,nan,nan
,22,OK,nan,nan,nan,nan,nan,nan
231,ห้องกันเกรา,OK,0.9524,0.2974,0.9524,0.9345,0.9286,0.6845
232,ห้องประดู่1–6,OK,0.9464,0.3143,0.9464,0.9345,0.9286,0.6905
233,ห้องพวงพยอม,OK,0.9405,0.3312,0.9405,0.9345,0.9286,0.6964
234,ห้องชัยพฤกษ์,OK,0.9405,0.3312,0.9405,0.9345,0.9286,0.6964
